19424;-14.8167,11.7333;GW-01;Bafatá;Xitole
0;-14.9333,11.9667;GW;;Xime
0;-15.0667,12.4167;GW;;Vila Nova
0;-14.8833,11.2333;GW;;Viana
0;-13.7167,11.7500;GW;;Vendu Leidi
0;-13.8833,12.5833;GW;;Velíngarà Samba
0;-13.8000,12.6167;GW;;Velíngarà Dulò
0;-13.9833,12.3500;GW;;Velingará
0;-16.5667,12.3000;GW;;Varela
0;-16.5975,12.2872;GW-06;Cacheu;Varela
0;-15.7833,11.9833;GW;;Utungul
0;-16.2000,11.9167;GW;;Utia Melique
0;-16.0500,12.0667;GW;;Utia Cor
0;-16.2531,12.0697;GW-06;Cacheu;Utia
0;-15.8861,12.2531;GW-06;Cacheu;Utêbado
0;-15.8000,12.0833;GW;;Utanque
0;-16.2500,12.0683;GW-06;Cacheu;Utama
0;-16.2167,11.2667;GW;;Ussaque
0;-15.3333,12.5000;GW;;Urumaia
0;-14.7000,11.6667;GW;;Ura Missirá
0;-13.8333,12.5667;GW;;Uoloto
0;-15.9944,12.2083;GW-06;Cacheu;Untaque
0;-15.9536,12.1431;GW-06;Cacheu;Untalanque
0;-16.0353,12.4308;GW-06;Cacheu;Untabualo
0;-14.9167,11.3667;GW;;Unsirè
0;-14.8500,11.3333;GW;;Unsirè
0;-14.8667,11.2833;GW;;Unsirè
0;-16.1006,12.0775;GW-06;Cacheu;Ungurá
0;-15.4856,12.0406;GW-04;Oio;Ungro
0;-15.7483,12.1950;GW-06;Cacheu;Unfotote
0;-15.3778,12.2461;GW-04;Oio;Unfarim
0;-15.9667,11.9667;GW;;Undungal
0;-14.8833,12.1000;GW;;Undarael
0;-15.8883,12.3697;GW-06;Cacheu;Unconche
0;-15.3500,11.2167;GW;;Uncómenè
0;-13.9333,11.7833;GW;;Uncirè
0;-15.4667,12.1667;GW;;Unchute
0;-15.4500,12.1000;GW;;Unche
0;-15.6231,12.0242;GW-04;Oio;Unche
0;-16.0833,12.1833;GW;;Uncal
0;-14.0833,12.4500;GW;;Unango
0;-14.9833,11.4500;GW;;Unal
0;-16.2017,12.0806;GW-06;Cacheu;Umuã
0;-16.0667,11.7667;GW;;Umuã
0;-15.7333,11.2500;GW;;Umpucute
0;-15.3833,11.4167;GW;;Umpotoco
0;-15.9422,12.0050;GW-06;Cacheu;Umpacaca
0;-15.5842,12.1631;GW-04;Oio;Umpabá
0;-14.2000,12.4000;GW;;Umholi
0;-16.0333,11.9833;GW;;Umbuganhete
0;-15.2500,11.7500;GW;;Umbassá
0;-15.0667,11.4667;GW;;Umbaná
0;-15.1667,11.8500;GW;;Umbã
0;-14.5500,11.8500;GW;;Umaro Jai
0;-14.5833,11.9833;GW;;Umaro Cossé
0;-14.1333,12.4667;GW;;Umaro Bela
0;-14.8000,12.5833;GW;;Umaro Baquè
0;-13.9000,12.4167;GW;;Umaro Baldé
0;-15.5803,12.3025;GW-04;Oio;Ululo
0;-16.0500,11.8167;GW;;Ul
0;-16.1667,12.1333;GW;;Ujíguia
0;-15.4067,12.4978;GW-04;Oio;Ujeque
0;-16.1000,12.2167;GW;;Uiule
