42056;-11.6719,26.7384;MA-11;Laayoune-Sakia El Hamra;Smara
0;-13.2500,24.1667;MA-12;Dakhla-Oued Ed-Dahab;Oum Dreyga
5832;-14.3300,22.5540;MA-12;Dakhla-Oued Ed-Dahab;Aousserd
0;-6.8600,31.5300;MA-05;Beni Mellal-Khenifra;lgli
0;-5.2500,35.3300;MA-01;Tanger-Tetouan-Al Hoceima;Ozlaba
0;-6.2126,34.3862;MA-04;Rabat-Salé-Kénitra;Zrok
0;-8.4417,30.9176;MA-07;Marrakesh-Safi;Zrit
0;-5.8160,34.4575;MA-04;Rabat-Salé-Kénitra;Douar Zri Ouled
0;-10.2357,28.8282;MA-10;Guelmim-Oued Noun;Zriouila
0;-4.2070,31.6543;MA-08;Drâa-Tafilalet;Zrigat
0;-9.7375,30.8908;MA-07;Marrakesh-Safi;Zribt
0;-9.5100,31.6600;MA-07;Marrakesh-Safi;Zriba
0;-8.3895,31.2798;MA-07;Marrakesh-Safi;Az Zrazra
0;-5.7638,34.8844;MA-01;Tanger-Tetouan-Al Hoceima;Douar Zarzar
0;-4.4709,34.5478;MA-03;Fes-Meknes;Zrarka
0;-4.9138,33.9572;MA-03;Fes-Meknes;Douar Frakit
0;-5.3347,34.5109;MA-04;Rabat-Salé-Kénitra;Douar Zrahna
0;-8.1383,31.7546;MA-07;Marrakesh-Safi;Zradna
0;-5.6001,34.6962;MA-04;Rabat-Salé-Kénitra;Zouiriyine
0;-6.0356,30.4957;MA-08;Drâa-Tafilalet;Ez Zourgane
0;-4.1469,34.5525;MA-03;Fes-Meknes;Zourek
0;-5.4818,34.7824;MA-01;Tanger-Tetouan-Al Hoceima;Zourag
0;-4.2509,31.7957;MA-08;Drâa-Tafilalet;Zawia
4846;-5.3446,34.8032;MA-01;Tanger-Tetouan-Al Hoceima;Zoumi
0;-8.8908,32.2733;MA-07;Marrakesh-Safi;Douar Zouinat
0;-6.5765,31.0812;MA-08;Drâa-Tafilalet;Zouiyya
0;-9.1709,31.7932;MA-07;Marrakesh-Safi;Douar Zouitinat
0;-9.0854,32.0008;MA-07;Marrakesh-Safi;Douar Zouizat
0;-8.7798,31.5764;MA-07;Marrakesh-Safi;Zouinate
0;-9.0809,32.3584;MA-07;Marrakesh-Safi;Zouidat
0;-5.8234,34.6235;MA-04;Rabat-Salé-Kénitra;Douar Zougara
0;-8.8271,32.3734;MA-07;Marrakesh-Safi;Zouaima
0;-4.2679,34.2917;MA-03;Fes-Meknes;Douar Zoualta
0;-4.2300,34.1100;MA-03;Fes-Meknes;Zoualta
0;-4.2494,31.7889;MA-08;Drâa-Tafilalet;Zwala
0;-9.1915,32.4177;MA-07;Marrakesh-Safi;Zouaka
0;-6.2922,32.4530;MA-05;Beni Mellal-Khenifra;Zouaïr
0;-6.0342,34.6557;MA-04;Rabat-Salé-Kénitra;Zouaïd
0;-2.3643,34.5350;MA-02;Oriental;Zouaïd
0;-9.2492,32.3772;MA-07;Marrakesh-Safi;Zouaher
0;-5.8310,35.2757;MA-01;Tanger-Tetouan-Al Hoceima;Douar Zoua
0;-10.0196,29.2951;MA-10;Guelmim-Oued Noun;Zoco el Tenin de Amel-lu
0;-10.0800,29.1500;MA-10;Guelmim-Oued Noun;Zoco el Tenin de Ait Ali
0;-9.9800,29.4100;MA-10;Guelmim-Oued Noun;Zoco el Jemis de Ait Bubequer
0;-9.4758,30.8123;MA-09;Souss-Massa;Zntou
0;-8.8765,31.4027;MA-07;Marrakesh-Safi;Znida
0;-8.7284,31.2358;MA-07;Marrakesh-Safi;Znada
0;-7.0862,31.9028;MA-07;Marrakesh-Safi;Zmamra
0;-5.2236,34.7192;MA-01;Tanger-Tetouan-Al Hoceima;Douar Zlayeh
0;-6.0409,33.8648;MA-04;Rabat-Salé-Kénitra;Zlaroua
0;-5.7906,34.7923;MA-04;Rabat-Salé-Kénitra;Douar Zouggara
0;-4.7314,33.9154;MA-03;Fes-Meknes;Douar Ait Bni Hya
0;-5.6577,34.9256;MA-01;Tanger-Tetouan-Al Hoceima;Douar Ezzaytouna
0;-4.4440,33.7908;MA-03;Fes-Meknes;Zitouna
0;-5.4069,35.0690;MA-01;Tanger-Tetouan-Al Hoceima;Zitanes
0;-8.5354,32.3446;MA-06;Casablanca-Settat;Zirara
0;-8.4397,31.3253;MA-07;Marrakesh-Safi;Zinebt
0;-5.4000,35.4300;MA-01;Tanger-Tetouan-Al Hoceima;Zinat
0;-9.0173,30.0383;MA-09;Souss-Massa;Zidate
0;-8.9122,30.4599;MA-09;Souss-Massa;Zidania
0;-5.3478,34.4012;MA-03;Fes-Meknes;Ziazna
0;-4.2720,34.5307;MA-03;Fes-Meknes;Ez Zeïaina
0;-5.7266,33.0401;MA-05;Beni Mellal-Khenifra;Ziyyar
0;-5.3708,34.3068;MA-03;Fes-Meknes;Douar Ziyanat
0;-5.6461,34.5614;MA-04;Rabat-Salé-Kénitra;Douar Zyayna
0;-4.2600,34.5300;MA-03;Fes-Meknes;Ziaïna
0;-8.9211,32.4229;MA-07;Marrakesh-Safi;Douar Zyayna
0;-5.5757,35.8307;MA-01;Tanger-Tetouan-Al Hoceima;Zhara
0;-5.9100,30.9500;MA-08;Drâa-Tafilalet;Zguigui
0;-4.8716,34.8062;MA-03;Fes-Meknes;Zghariyine
0;-6.5857,31.0320;MA-08;Drâa-Tafilalet;Zgassif
0;-5.6849,35.3883;MA-01;Tanger-Tetouan-Al Hoceima;Douar Zgaouta
0;-4.6996,33.7569;MA-03;Fes-Meknes;Douar Zgane
0;-8.2525,31.2786;MA-07;Marrakesh-Safi;Zgaggma
0;-3.5242,33.7641;MA-03;Fes-Meknes;Zerzaïa
0;-7.5367,31.2605;MA-07;Marrakesh-Safi;Zarwoun
0;-5.4500,35.1000;MA-01;Tanger-Tetouan-Al Hoceima;Zerkat
0;-4.4252,34.8329;MA-01;Tanger-Tetouan-Al Hoceima;Zerkat
0;-5.3543,34.1730;MA-03;Fes-Meknes;Zerhoun
0;-4.2800,31.3500;MA-08;Drâa-Tafilalet;Zerba
0;-5.5816,35.0376;MA-01;Tanger-Tetouan-Al Hoceima;Douar Zrayeb
0;-5.5709,34.9723;MA-01;Tanger-Tetouan-Al Hoceima;Douar Zarradoune
0;-7.0128,32.0845;MA-05;Beni Mellal-Khenifra;Zenngour
0;-5.4222,34.5129;MA-04;Rabat-Salé-Kénitra;Douar Znata
0;-1.2363,32.0999;MA-02;Oriental;Zenaga
0;-8.2673,31.5338;MA-07;Marrakesh-Safi;Zemrane
0;-5.2035,35.4371;MA-01;Tanger-Tetouan-Al Hoceima;Zemouret Olya
0;-5.6201,35.6998;MA-01;Tanger-Tetouan-Al Hoceima;Douar Zemmij
0;-4.5268,34.4786;MA-03;Fes-Meknes;Zemamra
2068;-1.7295,34.4737;MA-02;Oriental;Boubker
0;-8.7382,32.5763;MA-06;Casablanca-Settat;Douar Lehrouch
0;-5.7583,35.4050;MA-01;Tanger-Tetouan-Al Hoceima;Zitouna
0;-5.6612,35.1985;MA-01;Tanger-Tetouan-Al Hoceima;Zeïtouna
0;-4.2810,35.1309;MA-01;Tanger-Tetouan-Al Hoceima;Douar Zitouna
0;-5.3803,35.8118;MA-01;Tanger-Tetouan-Al Hoceima;Zeïtoun
0;-4.9720,32.6601;MA-08;Drâa-Tafilalet;Zhiyra
7831;-4.9610,32.8192;MA-08;Drâa-Tafilalet;Zayda
0;-5.3533,34.5189;MA-04;Rabat-Salé-Kénitra;Douar Zahriyine
0;-5.7420,34.5498;MA-04;Rabat-Salé-Kénitra;Douar Zehir Laananza
0;-8.6327,32.6745;MA-06;Casablanca-Settat;Zehamna
0;-8.7972,32.4850;MA-07;Marrakesh-Safi;Zehazeha Dehimnat
0;-4.9795,31.1124;MA-08;Drâa-Tafilalet;Ayt Zegane
0;-4.9372,34.5707;MA-03;Fes-Meknes;Zbor el Mchit
0;-9.1456,30.3419;MA-09;Souss-Massa;Zbirat
0;-4.3510,34.4810;MA-03;Fes-Meknes;Douar Zbayr
0;-4.7859,33.9925;MA-03;Fes-Meknes;Douar Laouzaghit
0;-3.0909,34.8531;MA-02;Oriental;Zawyat Ribat
0;-6.3001,31.7093;MA-05;Beni Mellal-Khenifra;Zawyat Oulmzi
0;-8.7133,30.7295;MA-09;Souss-Massa;Zaouia Bouchnine
0;-6.1098,31.2273;MA-08;Drâa-Tafilalet;Zawyat
0;-5.5176,35.6970;MA-01;Tanger-Tetouan-Al Hoceima;Zawya
0;-9.3373,31.1775;MA-07;Marrakesh-Safi;Zattaï
0;-5.4519,35.6141;MA-01;Tanger-Tetouan-Al Hoceima;Saddina
0;-5.6715,35.2201;MA-01;Tanger-Tetouan-Al Hoceima;Za’roura
0;-7.5100,31.5000;MA-07;Marrakesh-Safi;Zarouiet
0;-4.6309,34.6772;MA-03;Fes-Meknes;Zarhririne
0;-9.0642,30.6824;MA-09;Souss-Massa;Zarhenrhine
0;-7.3669,31.1730;MA-08;Drâa-Tafilalet;Zaouyet Lalla Çfiya Ali
0;-6.9364,31.7717;MA-05;Beni Mellal-Khenifra;Zaouit Sidi Driss
0;-9.8666,30.6781;MA-09;Souss-Massa;Zaouyet Sidi Brahim Ou Ali Tighanimine
0;-9.1212,30.8788;MA-07;Marrakesh-Safi;Zaouit Ouidmane
0;-9.5442,31.3101;MA-07;Marrakesh-Safi;Douar Zaouiat Ou Hassane
0;-4.3950,31.9279;MA-08;Drâa-Tafilalet;Zaouit Moulay Abdallah
0;-9.7823,30.9535;MA-07;Marrakesh-Safi;Douar Zaouiat Louda
0;-9.3911,30.8467;MA-09;Souss-Massa;Zaouit Issoukal
0;-6.2902,30.6755;MA-08;Drâa-Tafilalet;Zaouït a Bou-Lhâssane
0;-7.7840,31.0027;MA-09;Souss-Massa;Zaouïte
0;-8.2492,32.3068;MA-07;Marrakesh-Safi;Douar Zaouiat Sidi Ali
0;-8.1156,32.6244;MA-06;Casablanca-Settat;Zaouiet Sidi Tounsi
0;-8.8569,32.7028;MA-06;Casablanca-Settat;Zaouiet Sidi Moussa
0;-8.1657,32.8454;MA-06;Casablanca-Settat;Zaouiet Sidi Mohammed Ben Moumene
0;-8.6871,32.8776;MA-06;Casablanca-Settat;Zaouiet Sidi Kamed
0;-5.9594,31.4797;MA-08;Drâa-Tafilalet;Zouiet Sidi Daoud
0;-8.6086,32.6232;MA-06;Casablanca-Settat;Daour Zaouat Ben Hamdoun
0;-8.3283,31.6390;MA-07;Marrakesh-Safi;Zaouiat Sidi Abdelkhaleq
0;-8.6517,32.7940;MA-06;Casablanca-Settat;Zaouiet Says
0;-9.5108,30.8579;MA-09;Souss-Massa;Zaouiet Ouskour
0;-8.3389,33.0151;MA-06;Casablanca-Settat;Zaouiet Oulad Sidi Hamdoun
0;-7.8673,33.0246;MA-06;Casablanca-Settat;Zawyat Oulad Ben Naçer
0;-8.9510,32.5005;MA-07;Marrakesh-Safi;Douar Zaouit Moulat Abdellah Ben Hsine
0;-8.2191,30.7920;MA-09;Souss-Massa;Idaqqi
0;-8.8289,32.6634;MA-06;Casablanca-Settat;Zaouiet en Nouasra
0;-3.9811,34.0658;MA-03;Fes-Meknes;Zaouiet el Mrabtine
0;-8.5650,33.0643;MA-06;Casablanca-Settat;Zaouiet El Maachet
0;-7.5300,31.5100;MA-07;Marrakesh-Safi;Zaouiet el Kiriat
